True Latitude,True Longitude,GNSS Latitude,GNSS Longitude,INS Latitude,INS Longitude
37.4997,55.8116,25.7834,39.9021,37.4997,55.8116
37.4996,55.8117,38.9392,45.2758,37.4996,55.8117
37.4982,55.8114,42.4363,47.2655,37.4982,55.8114
37.4989,55.8124,43.7544,48.0811,37.4989,55.8124
37.4983,55.813,44.2868,48.4173,37.4983,55.813
37.4976,55.8138,44.5048,48.557,37.4976,55.8138
37.5015,55.8144,44.5957,48.615,37.5015,55.8144
37.5022,55.8144,44.6354,48.6418,37.5022,55.8144
37.5037,55.8127,44.652,48.6512,37.5037,55.8127
37.5033,55.8125,44.6561,48.6534,37.5033,55.8125
37.4992,55.8177,44.6555,48.6535,37.4992,55.8177
37.499,55.8181,44.656,48.656,37.499,55.8181
37.4988,55.8184,44.6576,48.6557,37.4988,55.8184
37.4988,55.8184,44.6573,48.6545,37.4988,55.8184
